item_id,title,genres
242,Kolya (1996),Comedy
302,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
377,Heavyweights (1994),Children|Comedy
51,Legends of the Fall (1994),Drama|Romance|War|Western
346,Jackie Brown (1997),Crime|Drama
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
265,"Hunt for Red October, The (1990)",Action|Thriller
465,"Jungle Book, The (1994)",Adventure|Children|Romance
451,Grease (1978),Comedy|Musical|Romance
86,"Remains of the Day, The (1993)",Drama
257,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
1014,Romy and Michele's High School Reunion (1997),Comedy
222,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
29,Batman Forever (1995),Action|Adventure|Comedy|Crime
785,Only You (1994),Comedy|Romance
387,"Age of Innocence, The (1993)",Drama
274,Sabrina (1995),Comedy|Romance
1042,Just Cause (1995),Mystery|Thriller
1184,"Endless Summer 2, The (1994)",Documentary
392,"Man Without a Face, The (1993)",Drama
486,Sabrina (1954),Comedy|Romance
144,Die Hard (1988),Action|Thriller
118,Twister (1996),Action|Adventure|Thriller
1,Toy Story (1995),Animation|Children|Comedy
546,Broken Arrow (1996),Action|Thriller
95,Aladdin (1992),Animation|Children|Comedy|Musical
768,Casper (1995),Adventure|Children
277,Restoration (1995),Drama
234,Jaws (1975),Action|Horror
246,Chasing Amy (1997),Drama|Romance
98,"Silence of the Lambs, The (1991)",Drama|Thriller
193,"Right Stuff, The (1983)",Drama
88,Sleepless in Seattle (1993),Comedy|Romance
194,"Sting, The (1973)",Comedy|Crime
1081,Curdled (1996),Crime
603,Rear Window (1954),Mystery|Thriller
796,Speechless (1994),Comedy|Romance
32,Crumb (1994),Documentary
16,French Twist (Gazon maudit) (1995),Comedy|Romance
304,Fly Away Home (1996),Adventure|Children
979,"Trigger Effect, The (1996)",Drama|Thriller
564,Tales from the Hood (1995),Comedy|Horror
327,Cop Land (1997),Crime|Drama|Mystery
201,Evil Dead II (1987),Action|Adventure|Comedy|Horror
1137,Beautiful Thing (1996),Drama|Romance
241,"Last of the Mohicans, The (1992)",Action|Romance|War
4,Get Shorty (1995),Action|Comedy|Drama
332,Kiss the Girls (1997),Crime|Drama|Thriller
100,Fargo (1996),Crime|Drama|Thriller
432,Fantasia (1940),Animation|Children|Musical
322,Murder at 1600 (1997),Mystery|Thriller
181,Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War
196,Dead Poets Society (1989),Drama
679,Conan the Barbarian (1981),Action|Adventure
384,Naked Gun 33 1/3: The Final Insult (1994),Comedy
143,"Sound of Music, The (1965)",Musical
423,E.T. the Extra-Terrestrial (1982),Children|Drama|Fantasy|Sci-Fi
515,"Boot, Das (1981)",Action|Drama|War
20,Angels and Insects (1995),Drama|Romance
288,Scream (1996),Horror|Thriller
219,"Nightmare on Elm Street, A (1984)",Horror
526,Ben-Hur (1959),Action|Adventure|Drama
919,"City of Lost Children, The (1995)",Adventure|Sci-Fi
26,"Brothers McMullen, The (1995)",Comedy
232,Young Guns (1988),Action|Comedy|Western
427,To Kill a Mockingbird (1962),Drama
512,Wings of Desire (1987),Comedy|Drama|Romance
15,Mr. Holland's Opus (1995),Drama
1049,House Arrest (1996),Comedy
416,Old Yeller (1957),Children|Drama
